day_of_week,driver_age,driver_sex,educational_level,driving_experience,vehicle_type,vehicle_owner,service_year,accident_area,lanes,road_allignment,junction_type,surface_type,road_surface_conditions,light_condition,weather_condition,collision_type,vehicles_involved,casualties,vehicle_movement,casualty_class,casualty_sex,casualty_age,casualty_severity,pedestrian_movement,accident_cause,hour,minute
5,2,2,5,2,1,4,6,10,2,6,8,1,1,4,3,9,2,3,3,1,1,1,3,6,4,18,29
3,2,2,5,2,1,4,6,8,4,6,8,1,4,1,5,9,1,1,3,4,3,6,4,6,11,18,34
3,2,2,5,3,16,4,6,8,3,6,8,1,1,4,3,9,2,1,3,1,1,1,3,6,2,18,23
3,5,2,5,4,1,1,6,10,3,6,8,1,4,4,3,2,2,1,10,1,2,2,3,6,5,15,51
5,1,2,5,3,15,4,6,8,7,6,2,1,1,4,3,9,3,2,3,1,1,1,3,6,10,21,9
5,2,2,1,1,8,4,6,8,7,6,2,1,1,1,3,3,2,2,3,4,3,6,4,6,5,10,58
1,1,2,2,3,4,4,6,8,3,6,4,1,1,4,3,9,2,1,3,4,3,6,4,6,13,16,36
7,2,2,5,4,9,4,4,7,7,6,2,1,4,4,4,9,1,1,3,2,2,2,3,6,1,11,42
7,3,2,5,4,15,4,2,10,5,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,20,16,11
6,1,2,5,3,5,4,6,10,1,6,8,1,1,4,3,9,5,2,3,4,3,6,4,6,14,10,25
4,5,2,5,2,6,4,3,8,5,6,2,1,1,4,3,2,2,1,3,4,3,6,4,6,1,11,19
2,4,2,2,2,6,4,2,8,3,6,8,1,1,4,3,9,2,2,3,1,2,1,3,6,10,17,11
2,1,2,5,1,1,4,6,10,7,6,8,1,1,3,3,9,3,2,3,1,2,1,3,6,1,11,31
6,1,1,3,2,1,4,2,7,3,6,2,1,1,4,3,9,2,1,3,1,2,1,3,6,11,10,31
2,2,2,5,2,6,4,1,8,2,6,2,3,1,4,8,9,2,1,3,3,2,1,3,7,2,9,50
2,2,2,5,3,1,4,6,10,5,6,1,1,1,1,3,9,2,1,1,4,3,6,4,6,12,20,1
2,2,2,2,1,8,4,5,3,5,6,8,1,1,4,3,9,1,1,4,3,1,4,3,2,10,16,36
1,1,2,5,4,8,4,2,7,2,4,2,1,4,4,5,9,2,2,3,1,2,1,3,6,4,24,11
5,3,2,5,3,8,4,3,7,5,6,2,1,4,1,3,3,2,1,6,3,1,4,2,6,1,23,41
5,5,2,5,2,1,1,6,10,3,6,4,1,1,1,4,9,1,1,3,1,2,1,3,6,2,19,11
5,2,2,5,4,1,4,6,6,7,6,2,1,1,4,3,9,4,1,3,4,3,6,4,6,10,15,11
5,5,1,5,3,1,4,6,7,3,6,2,1,1,1,3,2,3,1,11,3,2,1,3,6,2,1,27
1,3,2,5,4,15,4,6,10,5,6,2,1,4,1,5,7,2,2,3,1,2,1,3,6,11,18,28
5,2,3,5,2,1,1,6,10,7,6,2,1,1,4,3,1,2,1,10,4,3,6,4,6,11,16,26
3,1,2,5,3,1,4,6,7,1,6,8,1,1,1,3,4,2,1,3,4,3,6,4,6,13,23,36
1,5,1,3,3,6,4,3,8,2,6,3,1,4,4,4,2,3,1,5,1,2,1,3,6,2,11,31
4,1,2,1,2,16,4,6,6,3,6,2,1,1,4,3,9,2,1,3,2,2,5,3,6,2,15,24
6,5,2,5,4,6,4,6,8,2,6,3,1,1,4,3,2,2,1,3,4,3,6,4,6,2,14,1
1,2,2,5,2,9,4,2,8,3,6,8,3,4,4,3,9,2,1,8,1,2,5,3,6,11,18,1
2,1,2,5,1,6,4,6,10,3,6,8,1,1,4,3,9,4,1,5,2,2,3,3,6,11,16,41
5,1,2,5,3,12,4,2,10,3,6,8,1,1,4,3,9,2,3,10,4,3,6,4,6,17,18,24
5,2,2,3,4,1,4,6,10,5,6,2,1,1,4,3,9,2,1,4,3,2,1,3,6,13,8,56
2,1,2,5,3,6,4,4,3,5,3,2,1,1,3,3,9,2,2,3,1,2,5,3,6,2,21,16
1,2,2,5,4,10,4,6,7,3,6,8,1,1,1,3,9,2,2,3,2,1,1,3,6,2,2,6
7,2,2,5,5,1,4,2,8,3,1,2,1,1,4,3,9,2,3,3,4,3,6,4,6,4,15,8
7,5,2,5,3,14,1,3,8,5,6,1,1,1,4,3,9,1,1,4,3,1,4,3,6,11,9,51
1,2,2,5,2,4,4,6,7,3,7,8,1,1,1,3,9,3,3,3,3,2,2,2,7,10,21,16
2,1,2,5,4,1,4,6,7,3,7,2,1,4,4,5,9,2,1,1,1,2,1,3,6,2,19,60
1,1,2,5,4,4,1,6,7,2,6,1,1,1,1,3,9,4,1,8,4,3,6,4,6,2,22,1
5,2,2,5,3,8,1,6,7,2,6,2,1,4,1,3,9,4,2,3,2,1,3,3,6,11,18,22
3,3,2,5,2,16,4,1,10,3,6,2,1,4,4,5,9,2,3,3,4,3,6,4,6,8,14,2
3,1,2,5,3,1,4,6,13,5,6,1,1,1,1,3,9,2,1,3,2,2,5,3,6,10,22,21
4,1,2,5,3,11,4,6,2,3,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,1,13,33
2,3,2,5,1,12,4,6,10,5,6,2,1,4,1,3,5,2,2,3,3,1,2,2,9,6,17,51
6,1,1,5,3,12,4,6,7,1,6,2,4,1,4,3,3,2,1,5,4,3,6,4,6,4,18,16
1,5,2,1,5,1,4,6,7,3,8,8,1,1,4,8,9,2,1,4,2,1,1,3,6,13,17,1
3,2,2,5,4,1,4,6,14,7,6,2,1,1,4,3,2,2,3,3,2,2,5,3,6,11,15,36
5,2,2,3,6,5,4,6,10,5,6,8,1,1,4,3,3,1,1,3,1,2,4,3,6,1,22,6
6,3,2,5,3,10,4,6,8,3,6,8,1,1,4,3,9,2,1,3,3,1,2,3,2,13,23,6
6,1,2,5,3,10,4,3,7,3,7,8,1,1,4,3,9,2,1,8,1,2,2,3,6,11,15,48
3,3,2,5,4,16,4,6,10,1,6,2,1,4,4,3,9,3,1,3,1,2,5,3,6,13,12,40
7,3,2,5,5,1,4,6,8,7,6,8,1,1,4,3,9,2,1,8,4,3,6,4,6,10,17,57
4,4,2,5,4,10,4,5,7,5,6,1,1,1,1,3,2,2,4,3,1,2,1,3,6,11,2,31
3,1,2,5,4,1,4,6,3,3,6,4,1,4,4,4,6,2,1,3,3,1,2,3,6,13,15,21
6,1,2,5,1,12,4,1,7,5,6,8,1,1,4,3,9,1,1,5,1,2,1,3,6,19,18,51
2,1,2,1,1,4,4,4,8,2,4,2,1,1,1,3,9,2,1,3,1,2,2,3,6,13,23,21
7,2,2,5,3,1,4,4,8,2,4,1,1,1,1,3,9,2,1,3,1,2,1,3,6,2,24,36
7,2,2,1,2,5,4,6,3,3,6,2,1,1,4,3,9,2,1,3,2,1,2,3,6,13,14,53
1,2,2,5,3,8,4,2,8,7,6,1,1,1,4,3,9,2,1,8,1,2,2,3,6,11,20,43
4,3,2,5,3,1,4,1,7,3,6,2,1,1,4,3,9,4,1,3,4,3,6,4,6,12,12,44
6,1,2,2,2,6,4,6,7,3,6,1,1,1,4,3,9,1,1,3,4,3,6,4,6,10,21,51
2,1,2,5,3,7,4,6,10,5,6,1,1,1,4,3,9,2,3,3,1,2,2,3,6,11,14,8
6,2,2,2,3,1,4,1,13,5,6,8,1,1,4,3,7,2,2,3,4,3,6,4,6,17,19,14
2,2,2,2,2,15,4,6,7,7,6,2,1,1,4,3,7,2,1,12,4,3,6,4,6,5,9,46
6,3,2,5,3,12,4,2,11,5,2,8,1,1,4,3,3,3,1,2,4,3,6,4,6,4,16,15
3,5,1,5,2,8,4,6,8,3,6,4,1,1,1,3,2,2,2,2,3,2,5,3,6,2,23,51
2,5,1,5,3,6,4,4,10,5,6,8,1,4,1,5,9,3,1,1,1,2,1,3,6,6,23,36
5,3,2,5,1,6,4,2,8,3,6,8,1,1,4,3,2,2,2,5,4,3,6,4,6,4,9,39
5,1,2,5,2,10,4,6,8,3,6,8,1,1,4,3,3,2,1,3,4,3,6,4,6,2,12,31
6,5,1,5,4,6,4,6,10,5,6,8,3,1,4,3,9,2,2,3,3,2,2,3,2,2,13,1
6,5,2,5,4,2,4,2,6,5,8,8,1,1,4,3,9,3,2,3,4,3,6,4,6,12,13,31
6,5,2,5,3,11,4,4,10,7,6,8,4,1,4,3,9,2,1,3,4,3,6,4,6,1,12,36
7,4,2,5,3,1,4,3,13,7,6,8,1,4,1,3,9,2,3,3,1,1,4,3,6,4,22,41
3,3,2,2,3,1,4,4,7,3,6,8,1,4,1,3,9,2,5,3,1,2,1,3,6,2,24,23
3,2,2,5,2,1,4,6,8,3,6,1,1,1,4,3,9,2,1,3,4,3,6,4,6,18,15,41
4,2,1,5,3,6,4,6,8,3,6,2,1,1,4,3,9,2,3,3,1,2,5,2,6,1,1,26
7,2,2,5,3,6,4,6,7,5,6,2,1,1,3,1,9,2,1,3,4,3,6,4,6,10,8,31
3,3,2,5,3,1,4,6,7,3,6,1,1,4,1,4,3,2,1,3,4,3,6,4,6,4,22,9
7,2,2,5,4,5,4,6,13,3,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,4,21,21
3,1,2,5,5,15,4,6,7,5,6,1,1,1,4,3,3,2,8,3,4,3,6,4,6,5,18,36
7,2,2,5,1,16,2,6,8,1,6,2,1,1,4,3,7,2,1,3,4,3,6,4,6,11,13,33
3,2,3,2,5,1,4,6,5,7,6,2,1,1,4,3,9,2,3,3,4,3,6,4,6,8,15,36
1,1,2,5,5,15,4,6,10,5,6,2,1,1,4,3,9,2,1,5,3,1,2,3,7,13,6,51
5,4,2,5,1,8,4,6,8,5,6,2,1,1,4,3,7,2,1,3,2,2,2,2,6,13,9,6
3,3,2,5,3,4,4,6,6,7,4,2,1,1,4,3,2,1,1,3,1,2,1,3,6,4,10,21
5,2,2,5,2,15,4,6,7,3,6,1,1,1,4,3,9,2,1,3,3,2,5,3,6,13,13,52
4,1,2,2,2,8,4,3,10,2,6,8,1,1,4,3,9,3,2,3,1,2,2,3,6,14,14,39
7,2,2,5,3,1,4,2,7,2,4,2,1,1,4,1,2,4,2,3,3,1,5,3,6,11,13,21
1,2,2,2,3,6,4,6,8,7,6,8,1,4,1,3,9,2,1,5,2,1,2,2,6,11,2,1
7,2,2,1,1,10,4,5,8,7,4,1,1,1,1,3,3,2,3,3,1,1,1,3,6,2,22,21
5,1,2,4,1,1,4,3,10,5,6,8,1,1,4,3,9,2,1,5,4,3,6,4,6,11,12,31
3,4,2,2,2,6,1,6,13,5,6,2,5,1,4,3,3,2,1,3,1,1,2,3,6,2,15,13
5,1,3,5,5,8,1,6,7,3,6,8,1,4,1,3,9,2,1,3,4,3,6,4,6,2,8,23
2,1,2,2,5,6,4,2,8,5,6,8,1,1,1,3,9,2,1,3,2,2,1,3,6,5,19,1
7,4,2,5,3,2,4,3,8,3,6,4,1,1,4,3,9,2,1,3,4,3,6,4,6,14,18,1
1,2,2,6,5,6,4,6,10,5,6,2,5,4,4,3,2,3,1,3,4,3,6,4,6,11,18,11
6,1,2,5,3,1,4,6,8,3,6,2,1,1,4,3,9,3,3,3,1,1,1,3,6,13,16,41
4,1,2,5,2,6,4,3,10,2,6,8,1,4,4,5,9,3,1,5,1,2,2,3,6,1,14,59
1,1,2,5,3,8,4,1,7,3,6,1,2,1,1,3,9,2,1,3,4,3,6,4,6,2,18,51
5,2,2,5,1,1,4,6,10,2,6,8,1,1,3,3,9,2,1,3,1,1,2,3,6,4,24,54
5,5,2,5,4,4,4,6,7,5,6,2,1,1,4,3,9,2,1,3,1,2,4,3,6,17,19,41
6,2,2,3,1,16,4,6,3,2,6,2,1,1,4,3,9,2,1,3,1,2,1,3,6,11,16,21
3,1,2,5,1,1,4,6,3,1,6,8,1,1,4,3,3,2,2,3,1,2,2,3,6,11,20,31
1,1,2,5,4,4,1,6,8,1,6,1,1,4,1,3,9,2,1,3,3,2,1,3,6,4,19,51
7,1,2,2,3,17,4,6,3,5,6,2,3,1,4,3,9,2,2,5,1,2,2,3,6,1,17,54
7,1,2,5,1,1,4,3,10,5,6,4,1,1,4,3,7,2,1,3,1,2,2,3,6,5,13,38
1,3,2,6,3,1,4,2,10,3,6,1,1,1,4,3,9,2,1,3,1,2,1,2,6,1,7,46
6,5,2,5,1,1,4,6,10,5,6,2,1,1,4,3,9,1,1,3,1,2,2,3,6,4,13,11
3,1,2,5,4,15,4,6,7,3,6,8,1,1,4,3,9,2,1,4,4,3,6,4,6,1,15,1
5,5,2,5,2,1,4,2,10,3,6,8,1,1,4,3,9,2,1,3,3,1,4,3,6,1,8,51
6,1,2,2,2,15,4,5,8,3,6,2,4,1,4,3,9,1,1,3,1,2,1,3,6,13,9,40
4,1,2,7,5,9,4,2,8,3,6,8,1,1,4,3,9,3,3,3,4,3,6,4,6,11,14,56
6,3,2,5,2,8,4,2,8,5,4,1,1,1,4,3,9,2,1,8,2,1,1,3,6,4,11,59
4,3,2,5,2,9,4,6,7,3,6,8,1,4,4,3,9,2,1,3,4,3,6,4,6,11,12,41
5,4,2,5,5,5,2,1,7,3,6,8,5,4,4,5,2,2,1,3,2,2,2,3,6,4,17,5
7,2,2,5,2,1,4,6,7,5,6,8,1,1,4,3,9,2,1,10,1,2,1,2,6,10,10,21
4,3,2,5,3,1,4,6,2,7,6,8,1,1,4,3,9,2,1,3,2,2,1,3,6,1,15,46
1,2,3,5,5,10,4,6,7,3,6,8,1,1,1,3,9,2,1,3,2,1,5,3,6,11,21,41
6,2,2,5,3,1,1,1,8,5,6,8,4,1,4,3,3,2,1,8,3,1,2,3,6,11,18,24
5,4,2,1,6,14,4,6,10,3,6,2,1,1,4,3,9,3,4,8,2,1,2,3,6,2,20,36
7,4,2,2,3,4,1,6,7,2,6,8,1,1,4,3,9,2,1,3,1,2,2,3,6,16,18,31
2,2,2,5,5,15,4,4,13,7,6,8,1,1,4,3,2,1,1,3,1,2,1,2,6,1,16,32
5,2,2,5,1,8,4,2,7,5,6,2,3,1,4,3,3,2,1,3,4,3,6,4,6,1,16,26
5,3,2,5,4,15,1,5,10,7,4,1,1,4,4,3,9,2,2,3,4,3,6,4,6,17,17,47
1,5,2,5,2,1,4,6,10,7,6,2,1,1,4,3,9,2,1,3,1,2,1,3,6,2,23,1
6,5,1,5,3,16,4,6,6,5,8,1,1,1,4,3,9,5,1,3,4,3,6,4,6,4,10,26
6,1,2,5,2,1,4,6,2,5,6,8,1,1,4,3,9,2,2,8,1,2,5,3,6,4,9,37
3,1,2,3,1,4,4,4,10,7,6,2,1,1,4,3,2,2,1,3,4,3,6,4,6,4,17,19
6,1,2,5,5,1,4,2,10,2,6,8,1,1,1,3,9,3,3,3,1,1,2,3,6,3,9,9
5,2,2,2,3,6,4,6,7,5,6,1,1,4,4,3,3,2,1,3,1,2,5,2,6,14,8,41
4,1,2,5,3,16,4,6,8,3,6,1,1,1,4,3,9,3,1,3,1,1,1,3,6,11,14,46
1,5,2,5,3,1,4,6,7,1,2,2,1,1,4,8,7,2,1,3,1,2,1,3,6,13,9,41
3,2,2,2,4,5,1,6,13,5,6,8,1,1,1,3,9,2,1,3,2,1,2,3,6,10,21,3
1,1,2,7,5,5,4,6,10,2,6,1,1,1,4,3,9,1,1,3,1,1,2,3,6,4,15,45
7,5,1,5,4,1,4,6,3,5,6,1,1,3,4,3,9,4,2,3,2,2,5,3,6,4,14,58
4,1,2,5,1,1,4,6,7,3,4,2,1,4,1,6,3,2,1,8,4,3,6,4,6,14,1,11
1,2,2,2,2,8,4,2,5,2,6,2,1,4,4,7,9,2,1,3,1,2,2,3,6,4,8,51
1,1,2,2,3,1,4,6,2,2,6,8,1,1,4,3,9,2,1,10,4,3,6,4,6,6,13,11
6,3,2,5,3,1,4,1,7,5,7,8,1,1,4,3,9,2,1,8,4,3,6,4,6,12,10,21
1,3,2,5,6,6,4,6,8,3,6,8,1,1,1,3,7,2,1,4,1,2,5,3,6,2,1,4
6,2,2,5,4,6,4,1,8,3,6,8,1,1,4,3,3,3,2,4,4,3,6,4,6,1,20,1
1,2,2,3,3,11,4,1,7,5,6,2,1,4,1,5,9,1,1,3,1,2,5,3,6,14,3,1
2,1,2,5,3,1,4,4,8,3,6,8,3,1,4,3,9,2,1,3,4,3,6,4,6,2,16,9
3,2,2,5,5,6,4,2,10,2,4,2,1,1,4,3,9,2,1,3,3,1,2,3,1,2,13,36
6,1,2,5,1,6,4,6,10,5,6,2,1,4,4,3,9,2,1,8,4,3,6,4,6,11,8,46
1,2,2,5,2,15,4,2,10,3,6,8,1,1,1,3,2,2,1,3,3,2,2,3,6,10,18,17
2,1,2,5,3,6,4,6,8,3,6,8,1,1,4,3,9,2,1,3,1,2,5,3,6,17,18,36
4,4,2,5,2,1,4,6,7,5,6,8,1,4,4,5,9,2,1,3,2,1,4,3,6,12,14,41
2,4,2,5,2,16,1,2,8,7,6,8,1,1,4,3,9,2,3,3,3,1,4,3,4,5,7,51
3,2,2,2,3,8,4,6,3,4,6,8,1,1,4,3,9,2,1,6,4,3,6,4,6,2,18,21
5,2,2,3,3,15,4,2,1,5,6,8,1,4,1,5,9,3,1,3,4,3,6,4,6,11,20,42
2,2,2,2,3,5,4,6,10,4,6,2,1,1,4,3,9,3,1,8,1,2,1,3,6,1,14,6
5,2,2,2,4,1,4,6,8,3,6,4,1,1,4,3,1,2,3,3,1,1,2,3,6,11,21,21
1,1,2,5,5,1,1,4,13,3,6,8,1,4,2,3,9,2,2,3,4,3,6,4,6,1,13,41
1,5,2,5,3,6,4,6,8,7,6,4,1,1,4,3,9,2,1,5,4,3,6,4,6,6,16,36
4,2,2,2,3,8,4,6,8,3,6,8,1,1,4,3,9,2,3,5,2,2,3,3,6,13,22,31
1,1,2,5,4,1,4,6,8,5,6,8,1,4,1,5,9,2,4,3,1,2,1,3,6,13,23,26
7,1,2,2,2,8,4,1,8,2,6,8,1,1,4,3,9,1,1,3,4,3,6,4,6,1,9,41
4,3,2,2,3,12,4,1,13,5,6,8,1,1,4,3,9,2,1,4,3,2,1,2,6,2,12,44
6,2,2,2,3,5,4,1,6,5,6,8,1,1,4,3,9,2,1,3,2,1,5,3,6,11,15,51
2,2,2,5,3,10,4,6,7,1,6,1,1,1,4,3,9,2,1,4,4,3,6,4,6,13,18,44
7,2,2,5,3,1,4,2,10,5,6,8,1,1,4,3,9,3,1,3,1,2,2,3,6,1,7,51
1,1,2,5,4,9,4,6,7,5,6,2,1,1,4,3,9,2,2,8,4,3,6,4,6,13,16,46
7,5,2,5,2,4,4,6,7,3,6,2,1,1,4,3,9,1,1,3,3,2,5,3,2,10,12,1
5,1,2,5,3,15,4,6,8,5,6,8,1,1,4,3,2,1,1,3,4,3,6,4,6,2,17,56
5,2,2,5,3,16,4,6,8,3,6,8,1,1,4,3,9,1,1,5,1,2,1,3,6,2,18,6
4,2,2,5,4,6,4,6,6,7,4,2,1,1,1,3,9,3,1,3,4,3,6,4,6,17,20,46
2,1,2,5,3,1,4,6,7,7,6,8,1,1,1,3,9,2,1,8,1,2,2,3,6,1,19,25
5,5,2,5,4,1,4,2,8,5,8,2,1,1,4,3,1,2,1,3,1,2,1,3,6,12,14,4
6,2,2,5,4,6,4,6,5,5,7,8,1,1,1,3,7,1,1,3,1,2,2,3,6,4,17,31
3,5,2,5,4,11,4,2,1,5,6,2,1,1,4,3,9,2,3,10,4,3,6,4,6,4,15,36
5,2,2,5,3,6,4,4,10,5,6,8,1,1,4,3,9,2,1,4,2,2,4,3,6,2,18,39
7,3,2,2,1,1,4,2,8,5,6,2,1,1,4,3,9,2,2,3,2,1,5,3,6,11,10,21
3,2,2,5,2,1,4,6,8,5,6,1,1,4,4,3,9,1,1,3,3,2,5,2,2,4,17,1
7,1,2,5,3,6,4,6,8,3,6,1,1,4,1,3,9,1,1,3,1,1,1,2,6,1,21,21
7,1,2,5,3,11,4,3,7,5,6,8,1,4,1,3,9,2,1,3,1,1,2,3,6,2,19,36
1,3,2,5,4,9,4,6,8,3,4,1,1,4,1,5,9,2,1,3,1,2,2,3,6,12,5,55
4,3,2,2,3,9,4,2,8,3,6,8,1,1,4,3,9,1,1,3,4,3,6,4,6,17,11,51
1,2,2,5,5,5,4,2,8,5,6,8,1,1,4,3,9,2,1,8,2,1,2,3,6,4,10,26
1,4,2,5,2,1,4,4,8,3,6,8,1,1,4,3,2,3,1,3,4,3,6,4,6,17,17,1
5,2,2,5,5,12,4,6,3,2,6,1,3,1,1,3,9,2,1,3,4,3,6,4,6,13,21,19
2,3,2,2,3,6,4,2,10,7,6,8,1,1,4,3,3,1,1,3,1,2,1,3,6,13,14,11
2,1,2,5,3,1,4,6,8,5,6,8,1,1,4,3,9,2,1,3,1,2,5,3,6,11,12,51
4,1,2,3,5,1,4,6,8,3,6,2,1,1,4,3,2,2,2,10,1,2,5,3,6,20,13,6
4,3,2,5,5,16,4,6,7,3,6,2,1,1,4,3,9,2,1,3,3,2,2,3,6,2,15,20
6,3,2,5,4,1,4,1,7,5,6,2,1,1,4,3,9,2,2,5,4,3,6,4,6,13,14,31
5,4,2,5,3,1,4,3,8,5,6,2,1,1,4,3,9,3,4,3,1,2,2,3,6,4,20,36
1,1,2,5,5,9,4,5,8,5,7,1,1,4,1,5,7,2,1,3,4,3,6,4,6,2,1,55
4,2,2,5,5,16,4,6,3,4,6,2,1,4,4,5,9,2,2,5,4,3,6,4,6,11,16,1
2,2,2,5,3,1,4,6,8,1,4,1,1,1,1,3,3,2,1,3,4,3,6,4,6,12,19,46
3,3,2,6,3,6,4,6,10,3,6,8,1,4,4,3,9,3,3,3,1,1,1,3,6,10,14,1
6,3,2,5,3,6,4,4,3,3,5,8,4,1,4,3,3,2,1,4,2,1,4,3,6,11,19,41
5,1,2,5,4,10,4,6,7,3,6,6,1,1,4,3,9,2,1,3,4,3,6,4,6,2,8,46
7,1,2,5,2,12,2,6,8,7,6,1,1,1,1,3,3,4,1,3,1,2,1,3,6,11,14,58
6,2,2,2,4,16,4,5,10,3,6,8,1,1,4,3,9,2,1,3,1,2,3,3,6,4,17,1
4,2,2,5,4,1,1,6,7,5,6,8,1,1,4,3,9,2,1,4,1,2,2,3,6,2,18,12
1,2,2,5,1,1,4,5,10,3,6,8,1,1,4,3,9,2,2,3,1,2,2,3,6,11,23,26
4,2,2,5,2,11,4,1,7,3,7,1,4,1,4,3,9,3,1,3,4,3,6,4,6,14,17,57
6,2,2,5,2,11,4,2,10,2,4,2,1,1,4,3,9,2,1,3,2,2,5,3,6,13,13,8
7,1,2,5,3,5,4,3,13,7,6,6,1,4,4,5,2,2,1,6,1,2,2,3,6,12,9,49
4,2,2,5,3,9,4,6,8,7,6,2,3,3,4,7,9,3,2,3,4,3,6,4,6,4,14,8
4,4,2,5,5,17,4,4,4,3,6,4,3,4,4,5,9,4,2,3,4,3,6,4,6,10,15,1
1,2,2,5,4,8,1,5,10,3,6,8,1,1,1,3,9,2,1,3,4,3,6,4,6,4,21,41
3,2,2,5,3,1,4,2,13,5,6,2,1,1,4,3,9,2,1,5,4,3,6,4,6,2,13,44
2,2,2,2,2,1,4,2,8,3,6,2,3,1,4,3,9,2,2,3,1,2,2,3,6,4,18,25
7,2,2,5,3,9,4,6,7,3,6,8,1,1,4,3,9,2,1,3,1,2,2,3,6,2,8,41
2,1,2,5,1,6,4,6,8,7,6,8,1,1,4,3,2,3,1,3,4,3,6,4,6,5,16,46
5,2,2,5,1,1,4,6,8,4,6,8,1,1,4,3,3,2,1,5,1,2,1,3,6,12,11,14
5,2,2,5,1,13,4,2,7,1,6,1,1,1,4,3,9,2,1,3,2,1,4,3,6,1,9,26
1,1,2,2,5,9,4,6,3,3,6,2,1,1,4,3,9,2,2,3,3,2,1,3,7,11,9,40
6,1,2,5,3,1,1,3,3,3,6,1,1,4,4,4,2,2,3,3,1,2,1,3,6,11,13,31
4,3,2,5,4,10,4,1,8,7,6,2,3,4,1,3,9,2,6,3,1,2,5,3,6,2,21,31
3,1,2,5,4,1,4,3,8,5,6,2,1,1,4,3,9,2,1,3,2,1,2,3,6,11,12,55
6,1,2,5,1,10,4,6,10,5,6,2,1,1,1,3,9,1,2,3,4,3,6,4,6,4,23,23
3,3,2,2,3,6,4,2,8,5,6,1,1,4,1,5,2,2,3,3,4,3,6,4,6,17,4,1
7,4,1,5,2,1,4,4,10,7,6,2,1,1,4,3,3,3,1,4,1,1,1,3,6,10,8,21
4,1,2,5,2,1,4,3,10,5,6,8,1,1,4,3,9,3,2,3,2,1,4,3,6,2,14,39
5,3,2,5,4,6,4,2,8,5,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,11,11,41
4,1,2,6,3,6,4,3,3,5,6,2,1,1,1,3,3,1,2,10,3,1,5,3,6,13,23,1
7,1,2,5,3,8,4,6,7,3,6,1,1,4,1,4,9,2,1,2,4,3,6,4,6,6,2,31
5,2,2,3,3,1,4,3,8,5,6,8,1,1,4,3,1,2,1,3,4,3,6,4,6,11,13,52
6,5,2,5,3,10,4,6,8,7,6,1,1,1,1,3,9,2,1,3,3,1,4,2,6,2,19,51
6,1,2,5,2,6,4,6,6,3,1,8,1,4,4,5,9,1,1,3,2,1,5,3,6,10,14,26
4,4,2,5,2,15,4,6,8,3,6,8,1,1,1,3,9,2,1,3,2,2,5,3,6,1,2,1
4,1,3,5,2,6,4,6,10,5,6,2,1,1,1,3,3,1,2,3,2,1,5,3,6,7,1,48
2,5,2,5,5,6,4,3,8,1,2,8,1,4,4,3,9,2,1,3,1,2,1,3,6,2,17,26
4,1,2,5,4,1,4,6,7,1,6,2,1,1,3,7,9,2,2,12,4,3,6,4,6,2,20,56
7,4,2,5,2,17,4,4,3,3,6,8,1,1,4,3,9,1,1,3,3,2,1,3,7,14,15,60
4,2,2,5,3,1,4,6,8,3,6,8,1,1,4,3,9,1,2,3,4,3,6,4,6,11,14,8
7,3,2,5,3,1,4,6,8,5,6,2,1,4,1,4,9,2,1,3,2,1,5,3,6,12,8,31
1,3,2,5,6,1,4,2,10,5,6,2,1,1,4,3,9,1,1,3,4,3,6,4,6,13,21,56
3,2,2,5,4,11,4,6,14,7,6,1,1,1,4,3,9,2,1,3,4,3,6,4,6,2,11,21
6,2,2,2,1,8,4,6,7,1,6,2,1,4,4,4,9,1,1,9,1,2,2,3,6,11,16,37
5,1,2,5,2,12,1,1,8,3,6,8,1,1,1,8,2,2,1,3,3,1,2,3,7,2,20,16
6,1,2,2,3,15,4,6,8,3,6,8,1,1,4,3,9,2,3,3,1,2,2,3,6,2,9,18
3,1,2,2,3,1,4,2,3,7,6,1,1,4,4,5,9,2,1,3,1,2,2,3,6,11,11,39
6,3,2,5,5,8,4,3,7,5,6,8,1,1,4,3,9,3,1,8,3,2,5,3,6,1,18,20
6,2,2,5,3,1,4,2,8,7,6,1,1,1,4,3,9,2,1,3,1,2,1,3,6,5,17,31
1,3,2,5,4,1,4,6,7,2,6,2,3,1,4,3,9,2,1,5,4,3,6,4,6,1,21,56
3,2,2,5,4,4,4,6,3,3,6,8,1,1,4,3,9,1,1,3,2,1,1,3,6,13,23,1
7,5,2,3,1,11,4,6,7,5,6,2,1,1,4,3,2,1,1,3,4,3,6,4,6,11,18,21
1,1,2,1,6,6,4,2,3,5,6,1,1,1,4,3,9,3,3,4,4,3,6,4,6,10,8,45
3,1,2,5,1,1,4,2,3,5,6,8,1,1,4,3,9,2,1,3,1,1,1,3,6,12,14,51
4,2,2,5,2,7,4,2,10,3,6,1,1,1,4,3,9,2,3,1,4,3,6,4,6,11,13,4
3,3,3,5,3,1,4,6,7,7,8,1,1,4,1,4,3,1,1,3,2,2,4,3,6,10,21,1
7,2,2,7,2,6,4,1,8,7,4,8,1,1,4,3,7,2,1,3,1,1,1,3,6,13,9,9
7,3,2,2,3,1,4,6,7,2,6,8,1,1,1,1,9,2,1,3,3,1,1,3,4,3,19,46
